Condition,Subcondition,Trial,Sensor1 Mean,Sensor2 Mean,Sensor1_Min,Sensor2_Min
PAP,HAPTICS,1,x,1106.06,1090,1087
PAP,HAPTICS,2,1152.51,1176.86,1090,1087
PAP,HAPTICS,3,x,1186.36,1091,1062
PAP,HAPTICS,4,1119.49,1165.23,1099,1051
PAP,HAPTICS,5,1139,1176.64,1097,1049
PAP,HAPTICS,6,1093.5,1111.39,1098,1100
PAP,HAPTICS,7,1119.75,1156,1095,1076
PAP,HAPTICS,8,1099.68,1128,1096,1096
PAP,HAPTICS,9,1125.83,1164.08,1095,1066
PAP,HAPTICS,10,x,1211.42,1093,1116
PAP,HAPTICS,OverallMean,1118.67,1158.2,,
,,,,,,
PAP,NOhaptics,1,x,x,1097,1098
PAP,NOhaptics,2,1136.5,1195.42,1098,1022
PAP,NOhaptics,3,x,1269,1098,1093
PAP,NOhaptics,4,1101,1105,1097,1032
PAP,NOhaptics,5,x,1137,1095,1082
PAP,NOhaptics,6,1121.25,1151.42,1092,1098
PAP,NOhaptics,7,x,1242,1093,1078
PAP,NOhaptics,8,1146.14,1176.14,1093,1098
PAP,NOhaptics,9,x,1171,1093,1052
PAP,NOhaptics,10,1141.3,1158.7,1092,1100
PAP,NOhaptics,OverallMean,1140.89,1178.41,,
,,,,,,
PAPObstructed,HAPTICS,1,x,1109,1097,1095
PAPObstructed,HAPTICS,2,x,1157.79,1097,1092
PAPObstructed,HAPTICS,3,x,1199.86,1096,1093
PAPObstructed,HAPTICS,4,x,1233.52,1097,1030
PAPObstructed,HAPTICS,5,1157.71,1238.29,1097,1023
PAPObstructed,HAPTICS,OverallMean,1121.62,1187.69,,
,,,,,,
PAPObstructed,NOhaptics,1,x,1211.6,1097,1094
PAPObstructed,NOhaptics,2,x,1207,1097,1093
PAPObstructed,NOhaptics,3,x,1217,1097,1030
PAPObstructed,NOhaptics,4,x,1262.1,1099,1029
PAPObstructed,NOhaptics,5,1189.57,1261.71,1097,1094
PAPObstructed,NOhaptics,OverallMean,1138.17,1231.88,,
,,,,,,
Camera,HAPTICS,1,x,1145.42,1098,1090
Camera,HAPTICS,2,1211.53,1268.12,1098,1052
Camera,HAPTICS,3,x,1220,1098,1077
Camera,HAPTICS,4,x,1166,1097,1063
Camera,HAPTICS,5,x,1270.29,1096,1093
Camera,HAPTICS,OverallMean,1143.99,1213.96,,
,,,,,,
Camera,NOhaptics,1,1221.2,1265,1092,1091
Camera,NOhaptics,2,x,1155,1094,1094
Camera,NOhaptics,3,1155.87,1180.13,1091,1097
Camera,NOhaptics,4,1192.09,1248.18,1090,1088
Camera,NOhaptics,5,x,1221.92,1097,1021
Camera,NOhaptics,OverallMean,1173.36,1214.05,,
