Condition,Subcondition,Trial,Sensor1 Mean,Sensor2 Mean
PAP,HAPTICS,1,x,1106.06
PAP,HAPTICS,2,1152.51,1176.86
PAP,HAPTICS,3,x,1186.36
PAP,HAPTICS,4,1119.49,1165.23
PAP,HAPTICS,5,1139,1176.64
PAP,HAPTICS,6,1093.5,1111.39
PAP,HAPTICS,7,1119.75,1156
PAP,HAPTICS,8,1099.68,1128
PAP,HAPTICS,9,1125.83,1164.08
PAP,HAPTICS,10,x,1211.42
PAP,HAPTICS,OverallMean,1118.67,1158.2
,,,,
PAP,NOhaptics,1,x,x
PAP,NOhaptics,2,1136.5,1195.42
PAP,NOhaptics,3,x,1269
PAP,NOhaptics,4,1101,1105
PAP,NOhaptics,5,x,1137
PAP,NOhaptics,6,1121.25,1151.42
PAP,NOhaptics,7,x,1242
PAP,NOhaptics,8,1146.14,1176.14
PAP,NOhaptics,9,x,1171
PAP,NOhaptics,10,1141.3,1158.7
PAP,NOhaptics,OverallMean,1140.89,1178.41
,,,,
PAPObstructed,HAPTICS,1,x,1109
PAPObstructed,HAPTICS,2,x,1157.79
PAPObstructed,HAPTICS,3,x,1199.86
PAPObstructed,HAPTICS,4,x,1233.52
PAPObstructed,HAPTICS,5,1157.71,1238.29
PAPObstructed,HAPTICS,OverallMean,1121.62,1187.69
,,,,
PAPObstructed,NOhaptics,1,x,1211.6
PAPObstructed,NOhaptics,2,x,1207
PAPObstructed,NOhaptics,3,x,1217
PAPObstructed,NOhaptics,4,x,1262.1
PAPObstructed,NOhaptics,5,1189.57,1261.71
PAPObstructed,NOhaptics,OverallMean,1138.17,1231.88
,,,,
Camera,HAPTICS,1,x,1145.42
Camera,HAPTICS,2,1211.53,1268.12
Camera,HAPTICS,3,x,1220
Camera,HAPTICS,4,x,1166
Camera,HAPTICS,5,x,1270.29
Camera,HAPTICS,OverallMean,1143.99,1213.96
,,,,
Camera,NOhaptics,1,1221.2,1265
Camera,NOhaptics,2,x,1155
Camera,NOhaptics,3,1155.87,1180.13
Camera,NOhaptics,4,1192.09,1248.18
Camera,NOhaptics,5,x,1221.92
Camera,NOhaptics,OverallMean,1173.36,1214.05
